"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GPSM3",190.114659057952,0.864210541371148,0.356066290230537,0.000179162509275107,0.0141051313160627
"OSCAR",58.6924732067708,0.859042622466285,0.589370171176466,0.000889764699444452,0.0404510200755744
"ST8SIA4",296.099793866465,0.855751860633418,0.471604584623364,0.000472587999612631,0.0259401814369314
"KCTD12",1311.41849003723,0.852790197443754,0.157535457154483,4.56078436954783e-08,2.59585719188507e-05
"BCAT1",1083.68802677026,0.8480935499887,0.375597961239832,0.000230930556747076,0.016336346109194
"IGSF6",184.237118213454,0.83646708526893,0.536567143825037,0.000739821021219571,0.0350923196539179
"GAB3",77.9293112136023,0.836214659189644,0.461065619938234,0.00047166321209807,0.0259401814369314
"FAM129A",588.445555139378,0.825518454686361,0.316433728788725,0.000134175292846704,0.0119031616551357
"IL10RA",413.127653823803,0.824302508614636,0.586807725931539,0.000988755254152254,0.0438427103978729
"SAMHD1",1040.02789661067,0.82156994519176,0.381534191970413,0.000269402940921724,0.0176153030534157
"CTSC",2977.11049161856,0.819959872628119,0.1811180907196,2.67941194083822e-06,0.000619359278493478
"LHFPL2",976.690854294553,0.817420687847425,0.179317378060062,2.40408257594607e-06,0.000571823235310535
"NFAM1",232.589105701629,0.816349027749798,0.604542983041287,0.00109982920629976,0.0475010445626097
"TNFRSF1B",948.031968156498,0.810646076660894,0.36528790553565,0.000241864222707047,0.0166784690044876
"GPR132",60.1626265545562,0.802767505201758,0.604867867755259,0.00115419290744972,0.0492530099979362
"HIST1H4F",73.0218650780206,0.80096314793938,0.568458802746672,0.000982739660789677,0.043709277270678
"HLA-E",7641.56648953396,0.800732915856504,0.268730524978311,7.54211870849401e-05,0.00768827653688221
"ARHGAP30",265.017525384603,0.797558300513889,0.445845252462864,0.000487156170513111,0.0264741955975536
"TAGAP",136.308477480689,0.797453679036622,0.396340495439334,0.000334689103522786,0.0202598302321257
"SECTM1",414.119180169718,0.795245110306164,0.424740717900149,0.000421846908497268,0.0238736257319212
"TYROBP",386.396203336092,0.787159705145586,0.484644367886301,0.000651833822282901,0.0320296308122963
"STAT1",5535.75423032427,0.787049864852401,0.536217107393414,0.000876084603993903,0.0402717224749735
"FYB",845.767698614183,0.785125013717377,0.460850680112685,0.00056392217327359,0.0293549810194173
"CCRL2",108.523216228437,0.779484993842999,0.554911744010057,0.000991082473654084,0.0438427103978729
"STAT5A",311.015478077243,0.772883415482014,0.275588722365399,9.71906251123833e-05,0.00928760360687045
"C10orf54",444.006949793335,0.771301092602978,0.240458970632984,5.18480374889221e-05,0.00578863939638224
"SLC7A7",488.443698853129,0.757326789413096,0.368245655341783,0.000305228093690106,0.0190471614967377
"SEMA4D",490.738090939844,0.749446151131784,0.172929909638329,4.94301659195398e-06,0.00095440927420175
"EPB41L3",297.626887372319,0.74784502938094,0.458962501799573,0.000637251900181386,0.0315969129479665
"DOCK11",430.706357356859,0.745688009767564,0.309132462666168,0.000173281685431365,0.0137386426149737
"OLFML2B",194.331579672957,0.739983857995023,0.336899441516307,0.000241390279328629,0.0166784690044876
