"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GPR34",78.1728104618663,1.1601063015193,0.377489145529974,5.73813778021744e-05,0.00528459796357766
"ARHGAP15",87.8301850611902,1.15842766737796,0.542811148375176,0.000244097953801752,0.0165105425100513
"TCN2",277.973194706586,1.15629845129753,0.362815418396109,4.74317466615e-05,0.00452154913642755
"ALOX5AP",225.457767979732,1.15196897225128,0.762110236298798,0.000606971333048214,0.0317123067308299
"CLEC7A",240.345424057095,1.15044695149798,0.542682224455038,0.000250438128232827,0.0167311144603414
"MEP1A",39.2009532022792,1.14355685564268,1.14572902654938,0.000704360817561047,0.0357688027634349
"C1orf162",99.4578866469304,1.14028497009959,0.607374803833259,0.00036235477717779,0.0214790735373642
"SRGN",1738.98293056744,1.1382504865469,0.577282562562341,0.000314971687431343,0.0194483086243119
"PTGER2",53.199902975841,1.13808871280116,0.562513181482087,0.000291547996303744,0.0185603667685881
"THEMIS2",287.538213946574,1.13531938309939,0.299968783952595,1.50510043275786e-05,0.00196277137235088
"SLAMF6",133.710020835943,1.1347938755628,0.826808386342569,0.000739096057297751,0.0373003245511165
"GPR141",17.3527069290892,1.13109419094381,0.905116187390565,0.000836935791077794,0.0404104428656895
"SAMHD1",977.524808211221,1.1258086416827,0.306728312989121,1.92632095955782e-05,0.00237886045164788
"TAGAP",119.753580763016,1.11915749490269,0.622693711856305,0.0004149275698786,0.0234851885992745
"CCL8",46.4764657057568,1.1116609494538,0.878934886716111,0.000858909314739752,0.0413011231255832
"PTPN22",133.976797630368,1.11006961168569,0.764091227590399,0.000692044335748468,0.0352531709907368
"FFAR2",39.2299112260572,1.10384662859907,0.903670176548232,0.000903298988000104,0.0430546105362272
"TRAF3IP3",58.1442945540783,1.10182383645466,0.808485618089027,0.000786011159431821,0.0391827764828688
"JAK2",443.713153860346,1.10104931160597,0.215540450193577,1.51824445514125e-07,5.15602142984532e-05
